Feature,Importance
cat__Route_Rotterdam → Singapore,5.454507003393771e-05
cat__Route_Busan → Antwerp,5.42368338617143e-05
cat__Route_Shanghai → Singapore,5.364933667523956e-05
cat__Route_Antwerp → Rotterdam,5.3507924039980086e-05
cat__Route_Hamburg → Singapore,5.3501309957005105e-05
cat__Route_Colombo → Mumbai,5.1989588026279775e-05
cat__Route_Rotterdam → Antwerp,4.9962599086440883e-05
cat__Route_Los Angeles → Mumbai,4.79762908242081e-05
cat__Route_Colombo → Hamburg,4.767931350715315e-05
cat__Route_Hamburg → Los Angeles,4.638180440204274e-05
cat__Route_Hamburg → Dubai,4.579247998638466e-05
cat__Route_Busan → Shanghai,4.403191467729966e-05
cat__Route_Mumbai → Colombo,4.251156902849787e-05
cat__Route_Antwerp → Busan,4.2131365787009054e-05
cat__Route_Shanghai → Los Angeles,3.992843027463393e-05
cat__Route_Colombo → Los Angeles,3.641060353149118e-05
cat__Route_Singapore → Shanghai,3.549757487104646e-05
cat__Route_Los Angeles → Dubai,3.5338931109329707e-05
cat__Route_Busan → Colombo,3.209226462342246e-05
cat__Route_Los Angeles → Busan,3.070204474381567e-05
cat__Route_Singapore → Colombo,3.0586433395065185e-05
cat__Route_Los Angeles → Hamburg,3.042317319252177e-05
cat__Route_Hamburg → Busan,2.855918091529289e-05
cat__Route_Antwerp → Hamburg,2.7126048878230162e-05
cat__Route_Rotterdam → Hamburg,2.6868180915185286e-05
cat__Route_Singapore → Hamburg,2.4939180918861824e-05
cat__Route_Colombo → Rotterdam,2.2208765199804773e-05
cat__Route_Dubai → Los Angeles,2.1906996093750004e-05
cat__Route_Los Angeles → Antwerp,2.1618219452290055e-05
cat__Route_Los Angeles → Singapore,2.119700468304876e-05
cat__Route_Dubai → Busan,1.9437147804626466e-05
cat__Route_Singapore → Rotterdam,1.9094436776054906e-05
cat__Route_Dubai → Shanghai,1.6440395317454002e-05
